,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1480,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,unidentified_Ralstonia
ASV4226,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unidentified_Lactobacillus
ASV7578,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,unidentified_Weissella
ASV8179,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp.
ASV11648,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_plantarum
