,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV8179,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp.
ASV8831,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,unidentified_Leuconostoc
ASV11044,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea_agglomerans
ASV14683,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,unidentified_Weissella
ASV15002,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,Acetobacter_lovaniensis
