"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"917","ASV3125",0.156875212507842,0.0818601687319712,0.00818601687319712
"918","ASV3140",0.363537946075065,0.101233652044024,0.0101233652044024
"919","ASV3149",0.0899916735236277,0.0612401257155221,0.00612401257155222
"920","ASV3153",6.98446153333188,0.623616589744888,0.0623616589744888
"921","ASV3158",0.307668711898585,0.10559908512419,0.010559908512419
"922","ASV3168",0.00127599008518363,0.0050502044875285,0.00050502044875285
"923","ASV3198",0.188841035999336,0.079181947316406,0.0079181947316406
"924","ASV3203",0.000839467312348668,0.00448521167671183,0.000448521167671183
"925","ASV3206",2.33543405033509,0.425149831254864,0.0425149831254864
"926","ASV3208",0.178236884696372,0.0868967610393941,0.00868967610393941
"927","ASV3209",0.230234476589336,0.0813091090642534,0.00813091090642534
"928","ASV3226",0.10466652533911,0.0533223859456049,0.00533223859456049
"929","ASV3230",0.11290039696577,0.0729378543846875,0.00729378543846875
"930","ASV3251",0.00186018396430736,0.00806380321975745,0.000806380321975745
"931","ASV3273",0.740362278634801,0.176532587535561,0.0176532587535561
"932","ASV3279",0.126722185181325,0.0714164529367116,0.00714164529367116
"933","ASV328",0.00167447083288448,0.00536595627302321,0.000536595627302321
"934","ASV3300",0.0554626451199699,0.0433452733939032,0.00433452733939032
"935","ASV3312",0.421158481762454,0.178437596653351,0.0178437596653351
"936","ASV3318",2.24709251484499,0.352535969855287,0.0352535969855287
"937","ASV3332",0.342988148041839,0.144024574011898,0.0144024574011898
"938","ASV3352",0.0517528785265532,0.0367741008906879,0.00367741008906879
"939","ASV3359",0.0546536324873379,0.0434354588206455,0.00434354588206455
"940","ASV3360",0.0391609042144426,0.0335031687750641,0.00335031687750641
"941","ASV3364",0.0330312962132535,0.0260919438678113,0.00260919438678113
"942","ASV338",1.59618254080004,0.276036140839847,0.0276036140839847
"943","ASV3390",4.66469999055413,0.516861703665128,0.0516861703665128
"944","ASV3403",0.0278179960184032,0.0280134487582547,0.00280134487582547
"945","ASV3404",0.00932099533177731,0.0161027327627544,0.00161027327627544
"946","ASV3412",0.0254701122456117,0.0254698043801546,0.00254698043801546
"947","ASV3434",0.0298416408111965,0.0304931982619268,0.00304931982619268
