OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV11509	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfitobacterium	Desulfitobacterium_dichloroeliminans
ASV11510	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	uncultured_bacterium
ASV11511	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	unidentified_Kineosporia
ASV11512	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochordaceae	uncultured_bacterium
ASV11513	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unidentified_Sphingomonas
ASV11514	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	unidentified_Weeksellaceae	unidentified_Weeksellaceae
ASV11515	Bacteria	Bdellovibrionota	Oligoflexia	uindentified_Oligoflexia	uindentified_Oligoflexia	uindentified_Oligoflexia	uindentified_Oligoflexia
ASV11516	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	unidentified_Treponema
ASV11517	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga_sp.
ASV11518	Bacteria	Firmicutes	Clostridia	uindentified_Clostridia	uindentified_Clostridia	uindentified_Clostridia	uindentified_Clostridia
ASV11519	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	unidentified_Actinomyces
ASV11520	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	unidentified_Enterococcus
ASV11521	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella_bongori
ASV11522	Bacteria	Firmicutes	Clostridia	uindentified_Clostridia	uindentified_Clostridia	uindentified_Clostridia	uindentified_Clostridia
ASV11523	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	unidentified_Rothia
ASV11524	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	unidentified_Ochrobactrum
ASV11525	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV11526	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas	unidentified_Petrimonas
ASV11527	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_sp.
ASV11528	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unidentified_Erwiniaceae	unidentified_Erwiniaceae
ASV11529	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_sp.
ASV11530	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	unidentified_Burkholderiales	unidentified_Burkholderiales	unidentified_Burkholderiales
ASV11531	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	uncultured_bacterium
ASV11532	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_orientalis
ASV11533	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	unidentified_Spirochaetaceae	unidentified_Spirochaetaceae
ASV11534	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	unidentified_Acetobacter
ASV11535	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	unidentified_Ktedonobacterales	unidentified_Ktedonobacterales	unidentified_Ktedonobacterales
ASV11536	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	uncultured_bacterium
ASV11537	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Dactylosporangium	unidentified_Dactylosporangium
ASV11538	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	unidentified_Roseomonas
ASV11539	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	unidentified_Chloroflexaceae	unidentified_Chloroflexaceae
ASV11540	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus
ASV11541	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	uncultured_bacterium
