"","predictors","MeanDecreaseGini.mean","MeanDecreaseGini.sd","MeanDecreaseGini.std.error"
"318","ASV1291",1e-04,0.001,1e-04
"319","ASV12939",0.0899505938404751,0.0503933850229693,0.00503933850229693
"320","ASV1294",0.197916233856617,0.105140640816619,0.0105140640816619
"321","ASV12944",0.20216010294758,0.0962589933885372,0.00962589933885372
"322","ASV12951",0.00317071364237408,0.00833996998904592,0.000833996998904592
"323","ASV12961",0.270369034972378,0.128540965973387,0.0128540965973387
"324","ASV12965",1e-04,0.001,1e-04
"325","ASV12966",0.00346138133796028,0.00983749463008462,0.000983749463008462
"326","ASV12979",0.037774237489729,0.0363478712209363,0.00363478712209363
"327","ASV12995",0.0193167613977721,0.0234241380403993,0.00234241380403993
"328","ASV12996",0.00231356170245876,0.00635458641403378,0.000635458641403378
"329","ASV13",0.00254931221719457,0.00773645804888932,0.000773645804888933
"330","ASV13001",0.00731414038834182,0.013080774618344,0.0013080774618344
"331","ASV13003",0.334913447772692,0.129140018841731,0.0129140018841731
"332","ASV13005",0.00244076217583808,0.00652059016936864,0.000652059016936864
"333","ASV13006",0.00477739856571986,0.0115229894810608,0.00115229894810608
"334","ASV13014",0.0121319821565722,0.0177835467597321,0.00177835467597321
"335","ASV13022",2.84453383239551,0.624417076999644,0.0624417076999644
"336","ASV13027",0.00103333333333333,0.00451596494604856,0.000451596494604856
"337","ASV13035",1.11614592176175,0.275355308057137,0.0275355308057137
"338","ASV13057",1e-04,0.001,1e-04
"339","ASV13060",0.003867889420521,0.00828364133077435,0.000828364133077435
"340","ASV13068",0.0503451892525688,0.0369729152008275,0.00369729152008275
"341","ASV13079",0.115306319001749,0.0512576787941098,0.00512576787941098
"342","ASV13080",0.246430183460867,0.105424856578742,0.0105424856578742
"343","ASV13085",0.0771640065474528,0.0467372521846899,0.00467372521846899
"344","ASV13089",1.62858800335917,0.435504633806258,0.0435504633806258
"345","ASV13102",0.000806906906906907,0.00354156207951836,0.000354156207951836
"346","ASV13108",0.000548611111111111,0.00354150161363601,0.000354150161363601
"347","ASV13112",0.000544444444444444,0.00350473998954466,0.000350473998954466
"348","ASV13140",0.0736643355268752,0.0380287274706286,0.00380287274706286
"349","ASV13170",0.071638971109529,0.0434628773761047,0.00434628773761047
"350","ASV13207",0.00656595851292066,0.0151779738535066,0.00151779738535066
"351","ASV13216",0.00170146140725531,0.00626981461223749,0.000626981461223749
"352","ASV13217",0.00035,0.00204185991664265,0.000204185991664265
"353","ASV13224",0.00210059302704464,0.00763891150564445,0.000763891150564445
"354","ASV1325",0.000188888888888889,0.00188888888888889,0.000188888888888889
"355","ASV13258",0.0169612543457931,0.027012032263159,0.0027012032263159
"356","ASV13262",0.00578050634968274,0.0121066517195127,0.00121066517195127
"357","ASV13270",0.26995246898991,0.0930856189167699,0.00930856189167699
"358","ASV1329",0.0857586471116032,0.0554719652221851,0.00554719652221851
"359","ASV13295",0.0884668733606118,0.0538617805273844,0.00538617805273844
"360","ASV13301",0.0320706110160964,0.0325417025470131,0.00325417025470131
"361","ASV13312",0.0233775119873585,0.027552128559456,0.0027552128559456
"362","ASV1332",0.00497540584936999,0.00995893091845754,0.000995893091845754
"363","ASV13332",0.0180484453753671,0.0238299902044135,0.00238299902044135
"364","ASV13336",0.0192381992386846,0.0226304685568474,0.00226304685568474
"365","ASV13352",0.00155833874458874,0.00601940701255139,0.000601940701255139
"366","ASV13356",1e-04,0.001,1e-04
"367","ASV13371",0.0425893513546838,0.0352391976428612,0.00352391976428612
"368","ASV13375",0.00838650226386108,0.0126633279806149,0.00126633279806149
"369","ASV13377",0.00895963035648366,0.0146951978733581,0.00146951978733581
"370","ASV13378",0.000283333333333333,0.00199684093942751,0.000199684093942751
"371","ASV13386",0.402083724289981,0.12632667237792,0.012632667237792
"372","ASV13404",0.00110166666666667,0.00386615976881772,0.000386615976881772
"373","ASV13422",1.29427568388344,0.238162641440926,0.0238162641440926
"374","ASV13434",0.315423838790993,0.111716054809067,0.0111716054809067
"375","ASV13438",0.000477272727272727,0.00358630314501352,0.000358630314501352
"376","ASV1344",0.0937764342347305,0.0542111187706449,0.00542111187706449
"377","ASV13451",7e-04,0.00359994388283984,0.000359994388283984
"378","ASV13484",0.000283333333333333,0.00199684093942751,0.000199684093942751
"379","ASV13487",0.0204672260192855,0.0246815123753611,0.00246815123753611
"380","ASV13495",0,0,0
"381","ASV13501",0.0164837093919241,0.0221786728692393,0.00221786728692393
"382","ASV13510",0.0125675511003901,0.0160974077622826,0.00160974077622826
"383","ASV13513",0.00018,0.0018,0.00018
"384","ASV13524",0.0140095487462113,0.0183676242790909,0.00183676242790909
"385","ASV1355",1.08282142547225,0.218844194342526,0.0218844194342526
"386","ASV1356",0.00376139025454359,0.00998336086624902,0.000998336086624902
"387","ASV13589",0.265476537039339,0.106944201683516,0.0106944201683516
"388","ASV1359",0.0053807215007215,0.0104462064944755,0.00104462064944755
