,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV7224,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,unidentified_Clostridium_sensu_stricto_1
ASV8179,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp.
ASV11648,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_plantarum
ASV14683,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,unidentified_Weissella
ASV15613,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,unidentified_Burkholderia-Caballeronia-Paraburkholderia
