,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV4333,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_lactis
ASV4343,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,unidentified_Cupriavidus
ASV7578,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,unidentified_Weissella
ASV8179,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_sp.
ASV8831,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,unidentified_Leuconostoc
